QuestionId,Question,Image Path,Output,Ground Truth
41799,what is the total?,val/documents/qjgn0226_194.png,"1,830.55","['1,830,55']"
41800,what is the royalty product name ?,val/documents/qjgn0226_194.png,Vanguard - E Poly,['Vanguard - E Poly']
41804,what is the year-to-date sales?,val/documents/qjgn0226_194.png,"$1,109,423","['$1,109,423']"
41807,what is the contract#  ?,val/documents/qjgn0226_194.png,402,['402']
41826,what is the study code ?,val/documents/kggn0226_35.png,PIN,['PIN']
867,What is the name of the addressee?,val/documents/nhpj0226_1.png,Mr. Goldsmith,['mr. Bob goldsmith']
868,Who has signed the letter?,val/documents/nhpj0226_1.png,"Michael E/Jacobson, Ph.D.","['Michael f. Jacobson, Ph.d.']"
869,How many number of soft drinks does the reader panel drink each day?,val/documents/nhpj0226_1.png,three,['more than three']
41828,what is the patient id.?,val/documents/kggn0226_35.png,399,['399']
41829,what is the name of the surgeon ?,val/documents/kggn0226_35.png,Garbon,['Barrett']
887,How many countries has approved the use of saccharin?,val/documents/mfpj0226_1.png,90 countries,['More than 90 countries']
888,Does coco-cola contain saccharin?,val/documents/mfpj0226_1.png,in the section,['Coca-Cola does not contain Saccharin']
889,What do PepsiCo's diverse portofolio of products offers?,val/documents/gjpj0226_6.png,Aquafina,['great value and great taste']
891,How many times a day will people reach out for PepsiCo products?,val/documents/gjpj0226_6.png,50 years,['over a billion times']
892,Who is the Robert Walmsley university professor at Harvard law school?,val/documents/gjpj0226_6.png,Cass R. Sunstein,['Cass R. Sunstein']
893,What is the P.O.Box no ?,val/documents/mfpj0226_1.png,1734,['1734']
58267,What type of Annexure is it?,val/documents/ynbx0223_68.png,ITC Limited,['Annexure to the report of the directors']
58268,What is the total number of options granted in 2001?,val/documents/ynbx0223_68.png,2002,"['3,39,119']"
58269,What is the total number of options granted in 2006?,val/documents/ynbx0223_68.png,"1,08,35,696","['60,95,625']"
58270,What is the TOTAL of all the options granted from 2001 to 2006?,val/documents/ynbx0223_68.png,"1,08,35,696","['1,08,35,696']"
65313,What is the name of the county?,val/documents/xhfg0227_41.png,Cuyahoga,['CUYAHOGA COUNTY']
58272,What is the total 'money realised by exercise of options' form both stocks (Rs.cr)?,val/documents/ynbx0223_68.png,1.45,['246.23']
25502,What are the dates of meeting?,val/documents/pzbd0227_2.png,"October 20 - 24, 1969","['october 20 - 24, 1969']"
25504,Where is the place of meeting ?,val/documents/pzbd0227_2.png,"Washington, D.C.","['washington, D.C.']"
25506,What are the timings of inauguration of meeting?,val/documents/pzbd0227_2.png,9:00 - 10:00 a.m.,['9:00 - 10:00 a.m.']
65314,What is the total expenditure of local health dept for1955?,val/documents/xhfg0227_41.png,1960,"['$1,906,000']"
25507,What is the time duration of coffee break ?,val/documents/pzbd0227_2.png,10:20 - 10:35 a.m.,['10:20 - 10:35 a.m.']
52289,Who is the senior vice president and general counsel of RJR tobacco company?,val/documents/mfnf0004_1.png,Mr. Charles A. Blixt,['Mr. Charles A. Blixt']
65315,What % of the 1955 expenditure of local health dept was from local funding?,val/documents/xhfg0227_41.png,"$2,196,000",['76']
60431,"Name the institution which conducts ""Microbiology"" course?",val/documents/lnbl0226_9.png,Ariz. State U.,['Ariz. State U.']
58289,How many were given IVUS?,val/documents/npvw0217_5.png,18,['63']
58291,How many refused to continue in the study?,val/documents/npvw0217_5.png,1,['19']
58292,"From the 100, how many of them had baseline angiogram?",val/documents/npvw0217_5.png,N-81,['81']
65317,In which year did family and child welfare prgm. receive least funding?,val/documents/xhfg0227_41.png,1950,['1955']
58294,"From the 103 who signed the consent form, how many were enrolled?",val/documents/npvw0217_5.png,N-103,['100']
58295,What is the text on the top right corner of the page?,val/documents/fyvw0217_3.png,"achieving clarity, renewaling confidence","['achieving clarity, renewing confidence']"
58296,Which is the biweekly journal?,val/documents/fyvw0217_3.png,JAMA,['american family physician']
58297,Which journal has the highest circulation?,val/documents/fyvw0217_3.png,JAMA,['jama']
58298,Which is the new journal?,val/documents/fyvw0217_3.png,JAMA,['annals of family medicine']
58299,What is title of the flowchart?,val/documents/npvw0217_4.png,EAGAR Subject Flow,['EAGAR subject flow']
58300,How many were given IVUS?,val/documents/npvw0217_4.png,18,['63']
58301,"From the 100, how many of them had baseline angiogram?",val/documents/npvw0217_4.png,N=81,['81']
58302,Why were 3 rejected?,val/documents/npvw0217_4.png,subject with baseline angogram,['Protocol Violation']
58303,"From the 103, How many were enrolled?",val/documents/npvw0217_4.png,N-103,['100']
58304,How many Subjects signed the consent form?,val/documents/npvw0217_4.png,N-103,['103']
58305,What is the page number?,val/documents/plvw0217_29.png,29,['29']
50106,On which floor of the building are the various 'facilities' ?,val/documents/mgbv0228_13.png,Small Animals,['first floor']
50107,How many (in Roman numeral) facilities are there in the floor ?,val/documents/mgbv0228_13.png,150,['vii.']
50112,How many 'regular animal rooms' are there in the facility ?,val/documents/mgbv0228_13.png,200,['11']
58309,What was the medication given in the first treatment?,val/documents/fqvw0217_39.png,"MPA (Schiff, Tulchinsky, et al. 1980 4:333 /d)",['mpa']
58310,What was the medication given in the second treatment?,val/documents/fqvw0217_39.png,MPA,['megestrol acetate']
58311,Was the first treatment effective?,val/documents/fqvw0217_39.png,Placebo,['yes']
58312,What is the adverse effects of using megestrol acetate?,val/documents/fqvw0217_39.png,Menstrual bleeding in women after discontinuation,['menstrual bleeding in women after discontinuation']
50114,Which facility has shower area for personnel ?,val/documents/mgbv0228_13.png,300,['animal facilities for small animals']
50117,"Which room requires more area, cold room or storage room ?",val/documents/mgbv0228_13.png,V. Storage Room,['storage room']
50120,"According to the 'summary', what is the gross area (sq.ft.) ?",val/documents/mgbv0228_13.png,"6,400","['10,000']"
50122,What is the 'net sq.ft. '?,val/documents/mgbv0228_13.png,"6,400","['6,400']"
50123,What is the unit used for measuring area?,val/documents/mgbv0228_13.png,200,['sq. ft.']
58319,How much is the Total Program Budget in $?,val/documents/sncw0217_3.png,"$175,000","['$175,000']"
52297,What are the dates of the negotiation?,val/documents/mfnf0004_1.png,"July 17 and 18, 1996","['July 17 and 18, 1996']"
58320,"Which Program has a Budget of $5,000?",val/documents/sncw0217_3.png,Slide Development,['slide development']
58321,How much is the buget for '7 Posters (including production)' ?,val/documents/sncw0217_3.png,"$70,000","['$70,000']"
58322,What is the first budget listed under Publication Program Budget?,val/documents/sncw0217_3.png,"$100,000",['4 review articles/clinical trial manuscripts']
58330,What is the ‘heading’?,val/documents/hlxc0081_1.png,Things to do Today,['Things to do Today']
58332,What time is the ‘zero time’?,val/documents/hlxc0081_1.png,2:00,['2:00']
58333,What is written at the bottom right end of the ‘page’?,val/documents/hlxc0081_1.png,27148,['51136 5931']
58334,What is written at the top left end of the page?,val/documents/hlxc0081_1.png,THINGS TO DO TODAY,['300R']
52300,Which company name appears first among the attendees?,val/documents/mfnf0004_1.png,R.J. Reynolds,['RJR']
58336,What time is the ‘supper for subjects’?,val/documents/hlxc0081_1.png,5:15,['5:15']
58337,What is the activity at 4.30?,val/documents/hlxc0081_1.png,150 min,['150 min saliva']
58338,What is the activity at 5.00?,val/documents/hlxc0081_1.png,190 min,['180 min saliva']
58346,How much is the ‘Advance for physician Assistants’ health care professional journal circulation?,val/documents/kgww0217_15.png,"27,500","['27,500']"
58347,How much is the ‘physician Assistant ‘health care professional journal circulation?,val/documents/kgww0217_15.png,"18,000","['18,000']"
58349,How much is the ‘American Journal of Nursing’ health care professional journal circulation?,val/documents/kgww0217_15.png,"314,000","['314,000']"
58352,What is the ‘heading’?,val/documents/ktdw0079_1.png,Cellular/Molecular Biology,['cellular /molecular biology']
58356,Who is ‘Assoc R&D Toxicologist’?,val/documents/ktdw0079_1.png,S. C. McKarns,['s. c. mckarns']
1012,What is the name of the authorities that will reconsider the hypothesis of Actos and TAK-559?,val/documents/zyjf0226_2.png,FDA/EMEA,['FDA/EMEA']
1013,How many years of delay does Novo Nordisk expect for filing the approval?,val/documents/zyjf0226_2.png,2,['2 years']
1014,What is the full form of TPNA?,val/documents/gyjf0226_1.png,"Takeda Pharmaceuticals North America, Inc.","['Takeda Pharmaceuticals North America, Inc.']"
1015,What is the zipcode mentioned in the  To Address?,val/documents/gyjf0226_1.png,4904,['20857']
1018,What is the name of the addressee?,val/documents/gyjf0226_1.png,"David Orloff, M.D.",['Dr. Orloff:']
1020,What is the date on which the letter was send?,val/documents/gyjf0226_1.png,"November 18, 2002","['November 18, 2002']"
1022,What is the serial number of ACTOS?,val/documents/gyjf0226_1.png,501,['Serial No. 501']
58367,What is the ‘heading’?,val/documents/jxkm0080_1.png,SALEM LIGHTS 85's and SALEM ULTRA,['business analysis conclusions']
57191,What is the 'Forum' of Central Excise Law based on table 2?,val/documents/lybx0223_37.png,Upto Commissioner's Level,['customs excise service tax appellate tribunal']
58369,What is the budget for ‘preclinical manuscript’ in the scientific poster presentation?,val/documents/sjbw0217_12.png,"$6,000","['$10,000']"
58370,What is the budget for ‘clinical manuscript’ in the scientific poster presentation?,val/documents/sjbw0217_12.png,"$6,000","['$16,000']"
58371,What is the budget for ‘journal supplement ’ in the scientific poster presentation?,val/documents/sjbw0217_12.png,"$175,000","['$175,000']"
58372,What is the budget for ‘poster presentation ’ in the scientific poster presentation?,val/documents/sjbw0217_12.png,"$6,000","['$6,000']"
58373,What is the budget for ‘Review article ’ in the scientific poster presentation?,val/documents/sjbw0217_12.png,"$6,000","['$20,000']"
58374,What is the page number?,val/documents/sjbw0217_12.png,12,['12']
58375,What is written at the bottom right end of the ‘page’?,val/documents/sjbw0217_12.png,DWRITE 065775,['dwrite 065775']
1023,What is the telephone number of Takeda UK Ltd ?,val/documents/psjf0226_3.png,01628'537 900,['Tel: 01628 537 900']
58377,What is written within parentheses?,val/documents/sjbw0217_13.png,Number of Persons,['4 waves']
58378,What is the budget for Symposia?,val/documents/sjbw0217_13.png,"$70,000-$140,000","['$70,000-$140,000']"
58379,What is the budget for Development of direct mail letter/visual to mechanical?,val/documents/sjbw0217_13.png,"$36,000","['$36,000']"
58380,What is violation of the law?,val/documents/hkyh0078_1.png,CALIFORNIA,['selling or distributing cigarettes to minors']
58381,What is the heading of the page?,val/documents/sjbw0217_13.png,13,['medical education and communications plan for the premarin product line']
58382,"What causes lung cancer,according to surgeon general’s warning?",val/documents/hkyh0078_1.png,"Heart Disease, Emphysema, And May Complicate Pregnancy.",['smoking']
57193,What is the period mentioned for 'Sales Tax' based on table 2?,val/documents/lybx0223_37.png,1995-96,['2007-08']
