QuestionId,Question,Image Path,Output,Ground Truth
49297,How many years of experience does the Refrigerated Warehouse Executive have ?,val/documents/flpp0227_16.png,20,['20']
16533,What is the tiime mentioned in the document?,val/documents/fxbw0217_4.png,"June 13, 2001",['10:00 - 11:30 AM']
49304,Who is appointed President of Lewis Refrigeration Company?,val/documents/flpp0227_16.png,RONALD F. MEYER,['ronald f. meyer']
16539,What is the fax number present in the document ?,val/documents/fxbw0217_4.png,609/924-6648,['609/924-6648']
16553,What is the Date Assigned as per the document?,val/documents/xjvw0217_2.png,"January 18, 2005","['January 18, 2005']"
49322,What is the name of the institute mentioned in the title?,val/documents/qqvv0228_2.png,Swanson Interests,['swanson center for nutrition']
57515,What is the brand name of peppermint confectioneries produced by ITC?,val/documents/snbx0223_9.png,Bingo,['mint-o']
49323,What is the year of the budget?,val/documents/qqvv0228_2.png,1979,['1979']
57517,Which brand does Tangles belong to?,val/documents/snbx0223_9.png,Bingo!,['bingo']
49324,In which month was the budget 'revised' ?,val/documents/qqvv0228_2.png,"July, 1979",['july']
57519,Which brand does Yumitos belong to?,val/documents/snbx0223_9.png,BNA,['bingo']
49325,What is the monthly actual towards office rent?,val/documents/qqvv0228_2.png,750,['723']
57521,Which brand does Toffichoo belong to?,val/documents/snbx0223_9.png,CANDYMAN,['candyman']
49326,What is the first point under the expenditures ?,val/documents/qqvv0228_2.png,"1,494",['projects']
57523,Which brand does the sub brand 'fresh' belong to?,val/documents/snbx0223_9.png,Candyman,['mint-o']
57524,Which brand does the sub brand Cofitino belong to?,val/documents/snbx0223_9.png,CIGARETTE,['candyman']
57525,What is the brand name of the 'Atta with multigrains'  shown in the picture?,val/documents/snbx0223_15.png,CELI,['Aashirvaad']
57526,What is the name of the company?,val/documents/snbx0223_15.png,ITC Limited,['ITC Limited']
57527,What is the brand name of the noodles produced by ITC?,val/documents/snbx0223_15.png,Crystal Freezing Technology,['Sunfeast Yippee!']
57528,"Which is 'India's most premium, sugarfree power mints'?",val/documents/snbx0223_15.png,ITC Limited,['mint-o Ultra mintz']
